0.000000  -0.000000 0.000108  -0.000001 0.000000  -0.000000 NaN       
0.009999  0.000164  0.000109  -0.000001 0.000025  0.000000  NaN       
1.599784  0.026268  1.582620  0.016008  1.576573  0.034152  0.015896  
1.609783  0.026433  1.592602  0.016195  1.586365  0.034421  0.016078  
1.619782  0.026597  1.602593  0.016383  1.596283  0.034697  0.016264  
1.629780  0.026761  1.612595  0.016572  1.606327  0.034980  0.016453  
1.639779  0.026925  1.622608  0.016762  1.617839  0.035311  0.016671  
1.649778  0.027089  1.632631  0.016952  1.627782  0.035603  0.016860  
1.659776  0.027253  1.642656  0.017143  1.637471  0.035900  0.017044  
1.669775  0.027418  1.652663  0.017331  1.647161  0.036198  0.017227  
1.679774  0.027582  1.662621  0.017516  1.656825  0.036489  0.017408  
1.689772  0.027746  1.672524  0.017710  1.666717  0.036786  0.017596  
1.699771  0.027910  1.682495  0.017906  1.676761  0.037083  0.017793  
1.709770  0.028074  1.692473  0.018104  1.686603  0.037369  0.017988  
1.719768  0.028238  1.702460  0.018304  1.696647  0.037649  0.018188  
1.729767  0.028403  1.712458  0.018505  1.706388  0.037921  0.018383  
1.739765  0.028567  1.722467  0.018707  1.716331  0.038208  0.018583  
1.749764  0.028731  1.732486  0.018909  1.726198  0.038502  0.018782  
1.759763  0.028895  1.742511  0.019112  1.736064  0.038810  0.018982  
1.769761  0.029059  1.752523  0.019314  1.747676  0.039182  0.019216  
1.779760  0.029224  1.762524  0.019512  1.757466  0.039497  0.019411  
1.789759  0.029388  1.772395  0.019713  1.765662  0.039758  0.019576  
1.799757  0.029552  1.782367  0.019922  1.776945  0.040104  0.019808  
1.809756  0.029716  1.792341  0.020131  1.786812  0.040405  0.020015  
1.819755  0.029880  1.802325  0.020343  1.796931  0.040716  0.020229  
1.829753  0.030044  1.812318  0.020556  1.806798  0.041022  0.020438  
1.839752  0.030209  1.822323  0.020769  1.816816  0.041334  0.020652  
1.849751  0.030373  1.832338  0.020984  1.826607  0.041643  0.020861  
1.859749  0.030537  1.842362  0.021199  1.836321  0.041957  0.021069  
1.869748  0.030701  1.852385  0.021414  1.846060  0.042280  0.021278  
1.879747  0.030865  1.862387  0.021625  1.855748  0.042606  0.021485  
1.889745  0.031029  1.872247  0.021835  1.865715  0.042931  0.021696  
1.899744  0.031194  1.882235  0.022056  1.875556  0.043245  0.021908  
1.909743  0.031358  1.892207  0.022277  1.885574  0.043560  0.022130  
1.919741  0.031522  1.902186  0.022500  1.895340  0.043860  0.022347  
1.929740  0.031686  1.912175  0.022725  1.905232  0.044156  0.022569  
1.939739  0.031850  1.922176  0.022951  1.916794  0.044502  0.022829  
1.949737  0.032015  1.932187  0.023178  1.925092  0.044758  0.023017  
1.959736  0.032179  1.942208  0.023405  1.936804  0.045133  0.023283  
1.969734  0.032343  1.952233  0.023632  1.946544  0.045456  0.023503  
1.979733  0.032507  1.962241  0.023858  1.956409  0.045787  0.023727  
1.989732  0.032671  1.972222  0.024079  1.966022  0.046112  0.023942  
1.999730  0.032835  1.982098  0.024309  1.975786  0.046443  0.024162  
2.009729  0.033000  1.992069  0.024543  1.985753  0.046778  0.024395  
2.019728  0.033164  2.002045  0.024778  1.995745  0.047111  0.024629  
2.029726  0.033328  2.012030  0.025015  2.005763  0.047437  0.024866  
2.039725  0.033492  2.022026  0.025253  2.015781  0.047761  0.025104  
2.049724  0.033656  2.032033  0.025492  2.025470  0.048082  0.025335  
2.059722  0.033821  2.042050  0.025731  2.035336  0.048410  0.025571  
2.069721  0.033985  2.052075  0.025971  2.045151  0.048744  0.025806  
2.079720  0.034149  2.062086  0.026211  2.055294  0.049093  0.026048  
2.089718  0.034313  2.072090  0.026446  2.066753  0.049479  0.026321  
2.099717  0.034477  2.081956  0.026683  2.076619  0.049800  0.026555  
2.109716  0.034641  2.091927  0.026929  2.084714  0.050058  0.026751  
2.119714  0.034806  2.101900  0.027176  2.096124  0.050421  0.027033  
2.129713  0.034970  2.111882  0.027425  2.105990  0.050731  0.027278  
2.139712  0.035134  2.121873  0.027675  2.115932  0.051045  0.027527  
2.149710  0.035298  2.131876  0.027927  2.126102  0.051368  0.027782  
2.159709  0.035462  2.141889  0.028179  2.135993  0.051688  0.028030  
2.169708  0.035626  2.151912  0.028432  2.145859  0.052019  0.028279  
2.179706  0.035791  2.161935  0.028684  2.155547  0.052353  0.028523  
2.189705  0.035955  2.171936  0.028934  2.165260  0.052696  0.028767  
2.199703  0.036119  2.181824  0.029180  2.175074  0.053042  0.029012  
2.209702  0.036283  2.191782  0.029438  2.185015  0.053388  0.029262  
2.219701  0.036447  2.201752  0.029697  2.195083  0.053733  0.029523  
2.229699  0.036612  2.211730  0.029958  2.204974  0.054062  0.029781  
2.239698  0.036776  2.221717  0.030220  2.214815  0.054382  0.030039  
2.249697  0.036940  2.231715  0.030484  2.226326  0.054758  0.030342  
